sample_index,clean_signal,noisy_signal,filtered_signal
7545,1487.0,1407.0,1197.9717914135565
7546,1566.0,2059.0,1766.9393626984308
7547,1653.0,1973.0,2408.046605578626
7548,1746.0,1776.0,1831.276060889527
7549,1844.0,2347.0,2029.540461419009
7550,1945.0,2385.0,2202.203551188197
7551,2047.0,2041.0,2235.494600482302
7552,2150.0,2223.0,2086.8921270190112
7553,2251.0,3453.0,3111.5461990931194
7554,2349.0,2554.0,2853.9277678500425
7555,2442.0,2528.0,2518.614738630629
7556,2529.0,2566.0,2361.236631749222
7557,2608.0,2064.0,2186.674339142671
7558,2679.0,2988.0,2629.660103069558
7559,2739.0,3654.0,3229.9586638129194
7560,2789.0,3115.0,3334.3220716368187
7561,2826.0,2246.0,2595.3958757273213
7562,2852.0,3086.0,2693.438928530162
7563,2865.0,2368.0,2624.2216909259705
7564,2865.0,3198.0,2837.0373173469598
7565,2852.0,4095.0,3521.830886225768
7566,2826.0,2710.0,3306.8625831402937
7567,2789.0,2689.0,2748.3889949279915
7568,2739.0,2370.0,2471.200307568873
7569,2679.0,3181.0,2832.6889630943147
7570,2608.0,2457.0,2762.0908958348923
7571,2529.0,2837.0,2745.6800782631744
7572,2442.0,1424.0,2059.1111106062217
7573,2349.0,1815.0,1806.7112664901565
7574,2251.0,1943.0,2102.9035429308406
7575,2150.0,2124.0,2214.1698521358226
7576,2048.0,2518.0,2477.954846727889
7577,1945.0,1605.0,2115.4726852696917
7578,1844.0,1263.0,1647.9235073012699
7579,1746.0,2498.0,2095.389862973536
7580,1653.0,1754.0,2158.795375306592
7581,1566.0,885.0,1386.3752878615906
7582,1487.0,1015.0,905.2413102168791
7583,1416.0,1370.0,1232.670144627963
7584,1356.0,666.0,1242.9998190441079
7585,1306.0,1638.0,1394.7203134562628
7586,1269.0,1197.0,1429.0669310916412
7587,1243.0,873.0,1164.2137469242261
7588,1230.0,734.0,967.9875330819858
7589,1230.0,1402.0,1125.6760393823206
7590,1243.0,772.0,947.1201895441073
7591,1269.0,846.0,871.1995840050425
7592,1306.0,1516.0,1174.4545657471465
7593,1356.0,1267.0,1341.8332124456292
7594,1416.0,1464.0,1490.769497421347
7595,1487.0,1627.0,1471.7413619872025
7596,1566.0,1423.0,1429.2415387868189
7597,1653.0,1782.0,1498.3889646558525
7598,1746.0,2119.0,1868.5740744145473
7599,1844.0,966.0,1423.9176997430645
7600,1945.0,1855.0,1433.0294865443984
7601,2047.0,1358.0,1485.8769043296818
7602,2150.0,2257.0,1851.610560989655
7603,2251.0,2232.0,2171.281299639896
7604,2349.0,4095.0,3559.5184842494455
7605,2442.0,2701.0,3204.8653598018077
7606,2529.0,2662.0,2594.900032872338
7607,2608.0,1899.0,1986.0794378777416
7608,2679.0,2488.0,1921.1691476874423
7609,2739.0,2572.0,2418.6879200086014
7610,2789.0,2798.0,2579.80753212442
7611,2826.0,2496.0,2613.6052046476534
7612,2852.0,3979.0,3512.060430921511
7613,2865.0,3257.0,3743.0569997641105
7614,2865.0,2878.0,3082.4055416932533
7615,2852.0,3291.0,2887.531378125587
7616,2826.0,2312.0,2561.635903115643
7617,2789.0,3207.0,2751.977540474518
7618,2739.0,2228.0,2585.858552190902
7619,2679.0,2354.0,2395.5260984062884
7620,2608.0,3329.0,2792.6725953198506
7621,2529.0,2826.0,3275.543175077954
7622,2442.0,2724.0,2946.010065858728
7623,2349.0,2175.0,2393.740581787167
7624,2251.0,2174.0,2259.0136064724743
7625,2150.0,2364.0,2240.6369882373547
7626,2048.0,1057.0,1856.419848020046
7627,1945.0,1444.0,1343.938191802042
7628,1844.0,1589.0,1550.1873983990533
7629,1746.0,1641.0,1966.496333026483
7630,1653.0,2549.0,2329.4486939132576
7631,1566.0,1647.0,1969.5357204092008
7632,1487.0,1712.0,1799.637794057419
7633,1416.0,1508.0,1567.686571872888
7634,1356.0,1573.0,1632.988594892522
7635,1306.0,1247.0,1342.02678148273
7636,1269.0,1429.0,1344.8069159154823
7637,1243.0,2225.0,1956.5942918898086
7638,1230.0,1076.0,1265.2533406589241
7639,1230.0,1383.0,1433.7117311208838
7640,1243.0,960.0,1094.3319710101496
7641,1269.0,1130.0,1147.6871039171474
7642,1306.0,1651.0,1567.2153818323966
7643,1356.0,1019.0,1310.6824162222517
7644,1416.0,910.0,1031.7187894018912
7645,1487.0,0.0,461.89721961596604
7646,1566.0,1796.0,1321.7526909893888
7647,1653.0,1473.0,1617.1207690076326
7648,1746.0,1300.0,1563.588764185492
7649,1844.0,1863.0,1479.0516038449123
7650,1945.0,2072.0,1853.072600095605
7651,2047.0,1882.0,2004.2332823392815
7652,2150.0,1762.0,1678.753921817545
7653,2251.0,1767.0,1567.680554952792
7654,2349.0,1628.0,1416.9016170805035
7655,2442.0,1984.0,1804.8765748419685
7656,2529.0,2546.0,2404.9907210482074
7657,2608.0,2373.0,2371.928779127811
7658,2679.0,2500.0,2410.9646254283
7659,2739.0,999.0,1364.0298098782935
7660,2789.0,2876.0,2568.6224182150863
7661,2826.0,2781.0,2654.988764986131
7662,2852.0,3352.0,3124.0072727448746
7663,2865.0,2317.0,2651.900303699989
7664,2865.0,3018.0,2622.977519516077
7665,2852.0,2291.0,2524.340596195543
7666,2826.0,3173.0,2722.229515616088
7667,2789.0,3240.0,3096.0109456876653
7668,2739.0,2638.0,2706.0624023820797
7669,2679.0,2580.0,2604.3664717631873
